JAM	SWZ	0	114.22
RUS	NPL	67	5577.71
JPN	EAF	0	968.41
DEU	PGS	2	2249.26
LAO	ESP	4	103.71
NOR	LTU	38	22394.06
SCN	EST	0	188.85
CHN	HTI	22	15320.64
EUR	NAM	4	21484.66
CYM	TCD	5	-637.53
BHS	BRA	20	7837.89
JAM	CZE	1	6948.49
GNB	NLD	3	-63.61
ARG	BGR	23	3814.26
SWE	RWA	209	-208360.85
CYM	ABW	0	99.59
TUR	LKA	66	25934.00
IRN	AFG	2927	-49056.04
GNB	KIR	0	-76.91
VCT	NGA	8	390.56
BGD	SSD	177	-38185.91
LBN	PAN	5	7458.79
GTM	ALB	0	86.19
NZL	ECU	7	4545.42
BRA	EST	3	710.90
CMR	SOM	21	-8607.10
LVA	UKR	140	69542.23
WST	TZA	0	-86.21
SMR	FIN	0	137.35
MNG	BRA	3	2025.92
IRL	COL	58	18442.53
MCO	CAN	699	-130382.31
BHS	MNG	0	351.26
CPV	MKD	0	36.25
NPL	CRB	0	107.55
PRY	CAN	14	-8167.69
BEL	EAF	0	195.51
BLZ	PRK	0	519.71
IRQ	PLW	1	-1672.72
PNG	JAM	2	1338.67
MDV	COL	9	5063.16
MOZ	SOM	19	-1478.67
MDV	WAF	0	-302.80
GRC	ALB	804	-119186.42
VAT	CRI	8	367.24
BLZ	NRU	0	801.37
SGP	AGO	0	1796.44
ERI	MEA	1	251.27
QAT	CHL	3	3670.67
NGA	VCT	1	1224.33
LBY	FSM	9	-1581.56
IDN	DMA	5	258.87
GBR	SLE	260	306410.93
KWT	TTO	2	511.59
SLE	IRL	26	2892.97
UKR	CAS	0	8122.15
LCA	PER	1	1018.20
BRA	HRV	7	2019.82
DMA	WSM	0	501.55
MMR	PAN	0	54.90
GUY	ABW	3	270.18
NOR	ITA	182	145056.98
BRB	LBY	1	-756.74
VEN	FSM	0	954.95
GTM	PLW	0	787.07
QAT	NER	40	-6193.95
CRB	RUS	3	1019.42
PRK	ITA	39	1801.56
YEM	ARM	15	-3491.25
CAN	IRL	934	284190.67
CHL	ERI	0	284.44
COL	STP	0	731.00
HRV	PNG	0	59.48
CHN	LBN	117	86588.34
TON	CAN	10	-3198.23
NMR	DMA	0	33.72
CAU	EUR	0	17.44
ATG	TZA	0	96.68
NGA	ZMB	92	25815.60
PHL	MAC	0	214.11
GIN	STP	0	424.59
THA	LBN	125	-12229.52
SSD	VEN	0	4481.28
BRN	NMR	0	480.54
COG	JPN	20	-2833.62
MDA	TJK	29	-2858.32
MDA	TUR	110	16983.78
FSM	LBY	2	201.46
IRL	FSM	76	1843.71
YEM	SEN	8	859.04
IND	GTM	0	14100.70
MYS	KOR	690	-67256.38
DOM	COK	1	-160.92
NZL	TUV	5	38502.84
KGZ	SLB	0	1282.57
RWA	SWE	115	-22952.27
ZAF	MDG	17	22881.81
UKR	AIA	0	8.98
CRB	MEX	0	1255.11
SYR	SRB	180	-179880.95
GBR	ERI	80	5951.79
KNA	UGA	0	307.97
MNG	HUN	22	6156.98
BHS	CRI	0	3053.39
BDI	UKR	1	-1360.90
TKM	MYS	4	20517.06
ARG	SLV	27	2772.26
AFG	PRK	72	7675.99
UZB	CYP	3	107.34
MRT	TGO	0	2999.91
MWI	ISL	1	587.55
MRT	SEN	90	48078.58
SAS	OMN	0	4835.28
KIR	PRY	0	12.20
SYR	VCT	1	-381.60
TUN	JAM	18	-3415.70
MEA	KEN	0	-14.68
LSO	ALB	0	372.93
GBR	CAN	9032	875675.31
GAB	SOM	5	-869.81
KIR	TMP	0	179.91
AGO	ERI	0	2737.91
CHN	MMR	1843	181865.37
SYC	ISR	0	3605.33
SGP	CHL	2	34654.18
KGZ	TUN	0	469.90
SWZ	SLB	0	270.23
RWA	LBY	2	3168.12
OMN	COM	4	4307.20
SAU	PHL	1449	-43979.74
TMP	SGP	2	1655.30
TTO	UKR	4	523.37
PRK	MNG	31	45021.45
NMR	COD	0	44.76
LBY	URY	0	60.27
EGY	TKM	5	1902.55
MLI	BFA	715	-741416.91
SLE	MRT	2	7908.29
NPL	ALB	2	785.30
NZL	POL	203	-93163.65
BGD	COL	2	4570.29
BMU	USA	1150	-149098.59
MMR	HTI	1	84153.02
CAF	LBY	6	-518.77
FIN	DMA	0	596.69
HND	MCO	0	106.74
CUB	AND	0	62.78
FSM	TTO	0	81.79
NAM	FJI	0	289.45
ERI	TZA	17	-3326.50
SAF	AGO	6	15652.34
HRV	UGA	0	712.09
KOR	BGR	5	10688.97
ERI	BGD	0	67.69
ZAF	RWA	451	-36517.71
UKR	BEN	0	36.88
ITA	AUS	1047	542597.78
AND	LIE	0	19404.62
JAM	VAT	0	60.86
SWZ	MYS	0	4238.36
SOM	SSD	141	105952.32
TZA	ARM	20	-651.20
GBR	HKG	19	9755.61
ESP	UGA	1	2323.47
VNM	BTN	0	3526.76
CRI	GUY	2	181.84
TTO	NLD	18	1146.49
UKR	IND	63	4862.52
DEU	TMP	0	462.98
TTO	PRT	3	681.05
HRV	NOR	19	132886.97
BRB	MCO	0	483.22
MLI	ASA	0	0.61
SVK	NER	0	1684.71
ISL	JOR	3	478.92
VNM	ISL	0	4020.38
SLV	AFG	19	-4100.95
DMA	NMR	0	103.20
AUS	MDA	7	2090.22
WSM	BRB	0	2362.65
SWE	BWA	2	3623.85
GUY	BLR	0	20.10
WST	PRY	4	-139.93
CMR	SWE	4	382.39
TWN	BRB	0	125.50
SLE	AIA	0	79.32
COG	LCA	0	425.01
LSO	SOM	0	181.36
KEN	TWN	579	-412151.74
CRB	GHA	0	-194.10
MAC	MMR	1	124.56
LVA	GHA	0	4082.77
VNM	CYP	0	3506.25
MLT	BLR	2	422.76
IRQ	IDN	174	12087.73
JPN	MLT	30	4220.01
BGR	SWZ	0	212.45
SEA	PHL	5879	-1289978.46
LUX	KAZ	1	-26457.40
ZMB	SSD	1	5729.62
PGS	BGD	1	230.55
ISR	NER	6	683.48
MDV	MEX	189	-115474.90
RUS	MDV	262	-53622.35
SLV	GNQ	5	-305.01
CMR	AGO	9	9117.00
SOM	GMB	9	-821.58
ISR	FIN	17	-6699.39
EST	IRN	47	-1875.45
ETH	MMR	16	-1006.12
PGS	SAS	2	165.26
ALB	KWT	1	15074.93
OMN	ZMB	0	774.33
NZL	MHL	5	5622.58
PER	MLI	0	1967.99
GAB	AGO	3	6501.26
MKD	AUS	15	1907.92
MDV	QAT	13	-46339.42
TKM	BEL	6	5062.58
SEN	LBY	37	14643.49
PER	SWZ	0	19.77
MWI	GNQ	0	300.01
TUR	GNQ	0	1340.89
